% Model,COMSOL_Bitter_Coils_01.mph,
% Version,COMSOL 6.3.0.335,
% Date,"Apr 25 2025, 18:08",
% Dimension,2,
% Nodes,2503,
% Expressions,1,
% Description,Surface,
x,z,Normal current density
-0.003274219,1.02E-04,6.94E+08
-0.003249414,1.27E-04,6.93E+08
-0.003224609,1.52E-04,6.92E+08
-0.003323828,1.02E-04,6.95E+08
-0.003299023,1.27E-04,6.94E+08
-0.003274219,1.52E-04,6.94E+08
-0.003348633,1.27E-04,6.96E+08
-0.003323828,1.52E-04,6.95E+08
-0.003373438,1.52E-04,6.97E+08
-0.003398242,1.78E-04,6.97E+08
-0.003373438,2.03E-04,6.97E+08
-0.003348633,2.29E-04,6.96E+08
-0.003323828,2.54E-04,6.95E+08
-0.003299023,2.79E-04,6.94E+08
-0.003274219,3.05E-04,6.94E+08
-0.003423047,2.03E-04,6.98E+08
-0.003398242,2.29E-04,6.97E+08
-0.003373438,2.54E-04,6.96E+08
-0.003348633,2.79E-04,6.96E+08
-0.003323828,3.05E-04,6.95E+08
-0.003447852,2.29E-04,6.99E+08
-0.003423047,2.54E-04,6.98E+08
-0.003398242,2.79E-04,6.97E+08
-0.003373438,3.05E-04,6.96E+08
-0.003472656,2.54E-04,7.00E+08
-0.003447852,2.79E-04,6.99E+08
-0.003423047,3.05E-04,6.98E+08
-0.003497461,2.79E-04,7.00E+08
-0.003472656,3.05E-04,6.99E+08
-0.003522266,3.05E-04,7.01E+08
-0.003249414,2.79E-04,6.93E+08
-0.003274219,2.54E-04,6.94E+08
-0.003299023,2.29E-04,6.94E+08
-0.003323828,2.03E-04,6.95E+08
-0.003348633,1.78E-04,6.96E+08
-0.003224609,2.54E-04,6.92E+08
-0.003249414,2.29E-04,6.93E+08
-0.003274219,2.03E-04,6.94E+08
-0.003299023,1.78E-04,6.94E+08
-0.003199805,2.29E-04,6.91E+08
-0.003224609,2.03E-04,6.92E+08
-0.003249414,1.78E-04,6.93E+08
-0.003175,2.03E-04,6.90E+08
-0.003199805,1.78E-04,6.91E+08
-0.003150195,1.78E-04,6.89E+08
-0.003100586,1.27E-04,6.88E+08
-0.003125391,1.02E-04,6.88E+08
-0.003150195,7.62E-05,6.89E+08
-0.003175,5.08E-05,6.90E+08
-0.003199805,2.54E-05,6.91E+08
-0.003224609,-5.98E-15,6.92E+08
-0.003075781,1.02E-04,6.87E+08
-0.003100586,7.62E-05,6.88E+08
-0.003125391,5.08E-05,6.88E+08
-0.003150195,2.54E-05,6.89E+08
-0.003175,-5.98E-15,6.90E+08
-0.003050977,7.62E-05,6.86E+08
-0.003075781,5.08E-05,6.87E+08
-0.003100586,2.54E-05,6.88E+08
-0.003125391,-5.98E-15,6.88E+08
-0.003026172,5.08E-05,6.85E+08
-0.003050977,2.54E-05,6.86E+08
-0.003075781,-5.98E-15,6.87E+08
-0.003001367,2.54E-05,6.84E+08
-0.003026172,-5.98E-15,6.85E+08
-0.002976563,-5.98E-15,6.83E+08
-0.002951758,2.54E-05,6.82E+08
-0.002926953,5.08E-05,6.82E+08
-0.002902148,7.62E-05,6.81E+08
-0.002877344,1.02E-04,6.80E+08
-0.002852539,1.27E-04,6.79E+08
-0.002827734,1.52E-04,6.78E+08
-0.002976563,5.08E-05,6.83E+08
-0.002951758,7.62E-05,6.82E+08
-0.002926953,1.02E-04,6.82E+08
-0.002902148,1.27E-04,6.81E+08
-0.002877344,1.52E-04,6.80E+08
-0.003001367,7.62E-05,6.84E+08
-0.002976563,1.02E-04,6.83E+08
-0.002951758,1.27E-04,6.82E+08
-0.002926953,1.52E-04,6.82E+08
-0.003026172,1.02E-04,6.85E+08
-0.003001367,1.27E-04,6.84E+08
-0.002976563,1.52E-04,6.83E+08
-0.003050977,1.27E-04,6.86E+08
-0.003026172,1.52E-04,6.85E+08
-0.003075781,1.52E-04,6.87E+08
-0.003100586,1.78E-04,6.88E+08
-0.003075781,2.03E-04,6.87E+08
-0.003050977,2.29E-04,6.86E+08
-0.003026172,2.54E-04,6.85E+08
-0.003001367,2.79E-04,6.84E+08
-0.002976563,3.05E-04,6.83E+08
